key_mlbam,key_retro,ERA
676265,abboc001,5.25
672851,adonj001,7.1
645261,alcas001,2.28
669920,alexj001,5.4
641302,alext001,4.81
666120,andei001,5.0
542881,andet002,2.5
502042,archc001,4.56
676879,ashba003,4.44
668933,ashcg001,4.89
665871,assaj001,3.11
605135,bassc001,3.49
657508,baumm001,4.72
669358,baz-s001,5.0
595881,beedt001,5.14
656222,beekj001,2.8
678394,bellb002,4.71
621244,berrj001,5.23
669456,biebs001,2.83
621389,blact002,5.89
621112,blacp001,4.28
680694,bradk001,4.9
666374,brasm001,4.17
605154,brebj001,3.18
689225,brieb001,4.19
686613,browh001,0.75
664141,brubj001,4.69
663460,bubik001,5.58
621111,buehw001,4.02
518516,bumgm001,4.88
605164,bundd001,4.89
669203,burnc002,2.94
456713,bushm001,3.47
665795,cabre003,3.01
471911,carrc003,3.97
641447,castd003,4.04
528748,casth002,5.68
622491,castl003,2.9
666721,castm003,5.95
656302,ceasd001,2.2
570666,cessl001,4.57
650644,civaa001,5.18
605182,clevm001,4.77
502171,cobba001,3.73
543037,coleg001,3.45
672710,contr001,3.79
571578,corbp001,6.31
641482,cortn001,2.59
676710,crawk001,5.47
622503,crisn001,2.94
456501,cuetj001,3.35
675540,currx001,5.79
506433,darvy001,3.07
656353,davit005,6.75
605200,daviz001,4.09
594798,degrj001,3.07
543101,desca001,6.63
672282,detmr001,3.77
641540,dunnd001,4.46
621107,efliz001,3.96
693821,eldeb001,3.17
543135,eovan001,3.87
502179,espip001,4.84
656412,faeda001,5.53
663559,faltb001,4.25
607200,fedde001,5.81
663372,feltr001,5.83
656427,flahj002,4.25
623167,flexc001,3.73
607536,freek001,4.53
608331,friem001,2.62
668678,gallz001,2.54
677651,garcl007,3.64
666129,garrb001,3.58
592332,gausk001,3.44
593334,germd001,3.56
502043,gibsk002,4.98
669302,gilbl002,3.25
656457,gilbt001,5.24
608337,gioll001,4.9
596295,gomba001,5.56
664062,gonst001,2.19
594835,gonzm005,4.13
592346,gonzc002,5.87
669022,gorem001,4.5
592351,grayj003,3.96
680686,grayj004,5.02
543243,grays001,3.08
668881,greeh001,4.44
425844,greiz001,3.68
661269,gutiv001,7.61
571760,heana001,3.09
621368,heart001,5.13
669169,heasj001,5.28
543294,hendk001,4.8
674072,henrt001,5.36
672578,hernc006,7.39
622694,herne002,6.35
448179,hillr001,4.27
605288,housa001,4.73
675921,howas003,7.41
641712,hudsd002,4.45
571800,hutcd001,4.53
608344,irvic001,3.98
686753,jamed003,1.48
664299,javic001,2.4
596001,junij001,4.42
621076,kaprj001,4.23
641745,kellb003,5.09
656605,kellm003,3.91
518876,kellm002,3.37
477132,kersc001,2.4
572971,keucd001,9.2
579328,kikuy001,5.19
669923,kirbg001,3.2
446372,klubc001,4.35
656629,kopem001,3.54
665152,kremd001,3.23
641771,kuhlc001,5.72
641778,lauee001,3.69
666157,lodon001,3.66
656657,loguz001,6.79
669674,longs002,3.61
641154,lopep002,3.75
547179,lorem002,4.24
666200,luzaj001,3.32
543475,lylej001,4.42
663738,lyncd001,5.13
458681,lynnl001,3.99
641816,mahlt001,4.4
640455,manas001,5.2
666159,mannm001,3.43
666201,manoa001,2.36
608566,marqg001,4.95
663436,martd006,4.83
661309,marta006,6.24
607259,martn002,3.22
571927,matzs001,5.25
663556,mccls003,2.54
621121,mccul002,3.14
663474,mcket001,2.98
656731,megit002,5.13
571945,mikom001,3.31
489119,milew001,3.16
501985,minom001,6.06
593423,montf001,4.09
656756,montj004,3.43
663752,morrc001,2.1
450203,mortc002,4.45
682171,murfp001,3.0
605397,musgj001,2.93
605400,nolaa001,3.43
641927,oberb002,3.21
543606,odorj001,4.45
660271,ohtas001,2.33
670124,ollea001,6.3
657248,ottog001,4.64
670912,oviej001,3.21
663978,paddc001,4.03
669467,palla001,3.31
672715,patil001,8.1
686752,pepir001,3.47
642547,peraf001,3.58
527048,perem004,2.89
656849,peted003,3.85
663455,pilkk001,3.88
501381,pinem001,5.79
601713,piven001,4.56
668676,plesz001,4.27
615698,quanc001,3.48
500779,quinj001,2.84
666142,ragac001,4.95
656876,rasmd002,2.8
592662,ray-r002,3.88
670950,richt001,5.26
607074,rodoc001,2.88
593958,rodre004,4.05
669432,roget003,5.47
657746,ryanj002,3.55
547943,ryu-h001,5.67
592716,sampa001,3.11
592717,sanca006,6.6
434671,sanca004,4.28
650911,sancc002,5.63
663776,sandp002,2.91
453286,schem001,2.63
657376,schmc002,3.45
676664,searj001,3.86
622608,senza001,5.07
622663,sevel001,3.35
681217,silsc001,6.59
663903,singb001,3.23
669373,skubt001,3.52
656970,smeld001,3.71
592767,smyld001,3.47
605483,snelb001,3.49
605488,sprij001,2.46
657006,steej002,3.18
675911,stris002,2.96
548389,strir001,3.01
573186,strom001,3.5
660761,suarj001,3.96
624133,suarr001,3.44
592789,syndn001,3.9
592791,tailj001,3.96
624522,thomk002,3.76
605507,thomz001,5.18
570632,urenj001,5.01
628711,uriaj001,2.25
664353,urquj001,3.87
664285,valdf001,2.66
592826,velav001,4.78
434378,verlj001,2.17
608723,votha001,4.34
608379,wachm001,3.32
425794,waina001,3.71
592836,walkt004,3.49
657093,watks003,4.7
657277,webbl001,2.9
669330,wellt003,4.25
554430,wheez001,2.81
669952,whitm004,5.45
676477,whitg002,3.45
592866,willt002,3.21
669060,wilsb003,5.52
670174,wincj001,5.89
680739,windj002,4.7
622072,wooda002,5.1
605540,woodb005,3.05
657140,wrigk001,3.09
642232,yarbr001,4.5
669145,zimmb002,5.99
